question_number,text,scale
1,interested,panas
2,distressed,panas
3,excited,panas
4,upset,panas
5,strong,panas
6,guilty,panas
7,scared,panas
8,hostile,panas
9,enthusiastic,panas
10,proud,panas
11,irritable,panas
12,alert,panas
13,ashamed,panas
14,inspired,panas
15,nervous,panas
16,determined,panas
17,attentive,panas
18,jittery,panas
19,active,panas
20,afraid,panas
21,worry_others_thinking,bfne
22,unfavorable_impression,bfne
23,afraid_shortcomings,bfne
24,worry_impression,bfne
25,afraid_not_approve,bfne
26,concerned_opinion,bfne
27,worry_thinking,bfne
28,worry_impression,bfne
29,judging_bother,bfne
30,concerned_thinking,bfne
31,worry_say_do_wrong,bfne